Source,Target,Weight
L. Koscielny,G. Xhaka,2
P. \u010cech,L. Koscielny,2
G. Xhaka,A. Lacazette,1
G. Xhaka,P. \u010cech,1
A. Iwobi,G. Xhaka,1
S. Mustafi,Nacho Monreal,1
Beller\u00edn,A. Iwobi,1
A. Lacazette,L. Koscielny,1
S. Mustafi,G. Xhaka,1
A. Lacazette,Beller\u00edn,1
Nacho Monreal,D. Welbeck,1
G. Xhaka,A. Iwobi,1
G. Xhaka,S. Kola\u0161inac,1
L. Koscielny,P. \u010cech,1
S. Kola\u0161inac,A. Ramsey,1
L. Koscielny,A. Lacazette,1
A. Iwobi,Beller\u00edn,1
S. Mustafi,L. Koscielny,1
A. Ramsey,Nacho Monreal,1
Beller\u00edn,S. Mustafi,1
Nacho Monreal,S. Mustafi,1
