Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
D. Fletcher,46,0,0,0,1,0,0,1
E. Choupo-Moting,62,0,1,0,0,1,0,0
B. N'Diaye,79,0,0,0,1,0,0,1
M. Diouf,90,0,1,0,0,0,0,1
M. Bauer,90,1,0,0,0,0,0,1
X. Shaqiri,90,0,0,0,1,0,1,0
R. Shawcross,90,1,0,0,0,0,0,1
J. Butland,90,0,0,1,0,0,0,1
E. Pieters,90,1,0,0,0,0,1,0
K. Zouma,90,1,0,0,0,0,0,1
J. Allen,90,0,0,0,1,0,0,1
S. Berahino,44,0,1,0,0,0,0,1
Jes\u00e9 Rodr\u00edguez,28,0,1,0,0,0,0,1
C. Adam,11,0,0,0,1,0,1,0
