Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_both,Foot_left,Foot_right
T. Vermaelen,31,1,0,0,0,0,1,0
Iniesta,60,0,0,0,1,0,0,1
O. Demb\u00e9l\u00e9,60,0,1,0,0,1,0,0
Philippe Coutinho,90,0,1,0,0,0,0,1
I. Rakiti\u0107,90,0,0,0,1,0,0,1
Sergio Busquets,90,0,0,0,1,0,0,1
N\u00e9lson Semedo,90,1,0,0,0,0,0,1
M. ter Stegen,90,0,0,1,0,0,0,1
Jordi Alba,90,1,0,0,0,0,1,0
Y. Mina,90,1,0,0,0,0,0,1
L. Su\u00e1rez,90,0,1,0,0,0,0,1
Piqu\u00e9,59,1,0,0,0,0,0,1
Paco Alc\u00e1cer,30,0,1,0,0,0,0,1
Denis Su\u00e1rez,30,0,0,0,1,0,0,1
