Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
Javi Fuego,57,0,0,0,1,0,1
E. \u00dcnal,67,0,1,0,0,0,1
Pablo Fornals,77,0,0,0,1,0,1
N. Sansone,90,0,1,0,0,0,1
R. Soriano,90,0,0,0,1,0,1
Andr\u00e9s Fern\u00e1ndez,90,0,0,1,0,0,1
Adri\u00e1n Mar\u00edn,90,1,0,0,0,1,0
D. Bonera,90,1,0,0,0,0,1
\u00c1lvaro Gonz\u00e1lez,90,1,0,0,0,0,1
Mario,90,1,0,0,0,0,1
Rodri,90,0,0,0,1,0,1
Salem Al Dawsari,33,0,0,0,1,0,1
R. Mart\u00ednez,23,0,1,0,0,0,1
Samu Castillejo,13,0,0,0,1,1,0
