Source,Target,Weight
D. Perotti,K. Strootman,2
G. Defrel,D. Perotti,2
A. Kolarov,E. D\u017eeko,2
K. Strootman,G. Defrel,2
D. Perotti,D. De Rossi,2
D. De Rossi,A. Kolarov,1
Alisson,K. Manolas,1
D. De Rossi,D. Perotti,1
K. Strootman,E. D\u017eeko,1
E. D\u017eeko,D. De Rossi,1
E. D\u017eeko,R. Nainggolan,1
Juan Jesus,D. De Rossi,1
A. Kolarov,Juan Jesus,1
K. Manolas,K. Strootman,1
K. Manolas,A. Kolarov,1
G. Defrel,Bruno Peres,1
Bruno Peres,K. Strootman,1
A. Kolarov,G. Defrel,1
E. D\u017eeko,A. Kolarov,1
Juan Jesus,A. Kolarov,1
K. Manolas,Alisson,1
K. Strootman,R. Nainggolan,1
D. Perotti,Alisson,1
K. Strootman,K. Manolas,1
R. Nainggolan,E. D\u017eeko,1
D. De Rossi,Juan Jesus,1
R. Nainggolan,D. Perotti,1
E. D\u017eeko,D. Perotti,1
Alisson,K. Strootman,1
D. De Rossi,K. Manolas,1
