Name,Field Time,Position_DEF,Position_FWD,Position_GKP,Position_MID,Foot_left,Foot_right
A. Candreva,52,0,0,0,1,0,1
Borja Valero,78,0,0,0,1,0,1
Y. Nagatomo,85,1,0,0,0,0,1
D. D'Ambrosio,90,1,0,0,0,0,1
S. Handanovi\u010d,90,0,0,1,0,0,1
Jo\u00e3o Miranda,90,1,0,0,0,0,1
M. \u0160kriniar,90,1,0,0,0,0,1
M. Icardi,90,0,1,0,0,0,1
M. Brozovi\u0107,90,0,0,0,1,0,1
I. Peri\u0161i\u0107,90,0,0,0,1,0,1
M. Vecino,90,0,0,0,1,0,1
Jo\u00e3o M\u00e1rio,38,0,0,0,1,0,1
R. Gagliardini,12,0,0,0,1,0,1
Dalbert,5,1,0,0,0,1,0
