Source,Target,Weight
P. Lienhart,P. Stenzel,2
F. Niederlechner,P. Lienhart,2
C. G\u00fcnter,P. Lienhart,2
J. Schuster,N. H\u00f6fler,2
P. Lienhart,J. Haberer,2
P. Lienhart,F. Niederlechner,2
C. S\u00f6y\u00fcnc\u00fc,N. H\u00f6fler,2
R. Kent,C. S\u00f6y\u00fcnc\u00fc,1
J. Schuster,F. Niederlechner,1
F. Niederlechner,J. Haberer,1
R. Kent,P. Stenzel,1
J. Schuster,R. Kent,1
P. Lienhart,C. G\u00fcnter,1
J. Schuster,P. Lienhart,1
C. G\u00fcnter,R. Kent,1
A. Schwolow,P. Lienhart,1
J. Haberer,R. Kent,1
N. H\u00f6fler,J. Schuster,1
R. Kent,N. H\u00f6fler,1
N. H\u00f6fler,C. G\u00fcnter,1
M. Frantz,P. Lienhart,1
N. H\u00f6fler,J. Haberer,1
F. Niederlechner,C. G\u00fcnter,1
R. Kent,C. G\u00fcnter,1
P. Stenzel,N. H\u00f6fler,1
P. Stenzel,P. Lienhart,1
F. Niederlechner,A. Schwolow,1
P. Lienhart,J. Schuster,1
N. Petersen,P. Lienhart,1
C. G\u00fcnter,C. S\u00f6y\u00fcnc\u00fc,1
R. Kent,J. Schuster,1
A. Schwolow,N. Petersen,1
J. Haberer,M. Frantz,1
J. Haberer,J. Schuster,1
N. H\u00f6fler,F. Niederlechner,1
P. Stenzel,A. Schwolow,1
C. S\u00f6y\u00fcnc\u00fc,J. Schuster,1
M. Frantz,F. Niederlechner,1
J. Haberer,P. Lienhart,1
N. H\u00f6fler,C. S\u00f6y\u00fcnc\u00fc,1
N. H\u00f6fler,R. Kent,1
P. Lienhart,R. Kent,1
