Source,Target,Weight
E. Thommy,E. Ins\u00faa,5
E. Ins\u00faa,H. Badstuber,4
M. G\u00f3mez,E. Thommy,4
D. Ginczek,M. G\u00f3mez,4
C. Gentner,D. Ginczek,4
E. Ins\u00faa,E. Thommy,4
R. Zieler,D. Ginczek,3
E. Thommy,B. Pavard,3
S. Ascac\u00edbar,E. Thommy,3
E. Thommy,A. Beck,2
T. Baumgartl,B. Pavard,2
E. Thommy,M. G\u00f3mez,2
B. Pavard,D. Ginczek,2
M. G\u00f3mez,C. Gentner,2
E. Ins\u00faa,B. Pavard,2
T. Baumgartl,E. Thommy,2
E. Ins\u00faa,D. Ginczek,2
D. Ginczek,E. Ins\u00faa,2
H. Badstuber,C. Gentner,2
E. Thommy,T. Baumgartl,2
M. G\u00f3mez,E. Ins\u00faa,2
B. Pavard,T. Baumgartl,2
C. Gentner,M. G\u00f3mez,2
R. Zieler,C. Gentner,2
H. Badstuber,E. Ins\u00faa,2
H. Badstuber,S. Ascac\u00edbar,2
C. Gentner,S. Ascac\u00edbar,2
T. Baumgartl,E. Ins\u00faa,2
E. Thommy,D. Ginczek,1
S. Ascac\u00edbar,E. Ins\u00faa,1
M. G\u00f3mez,B. Pavard,1
H. Badstuber,D. Ginczek,1
A. Beck,D. Ginczek,1
A. Beck,E. Ins\u00faa,1
E. Ins\u00faa,R. Zieler,1
T. Baumgartl,C. Gentner,1
A. Beck,B. Pavard,1
B. Pavard,A. Beck,1
B. Pavard,E. Ins\u00faa,1
C. Gentner,E. Thommy,1
D. Ginczek,B. Pavard,1
T. Baumgartl,R. Zieler,1
H. Badstuber,R. Zieler,1
A. Beck,H. Badstuber,1
R. Zieler,M. G\u00f3mez,1
D. Ginczek,A. Beck,1
D. Ginczek,S. Ascac\u00edbar,1
A. Beck,T. Baumgartl,1
S. Ascac\u00edbar,A. Beck,1
E. Ins\u00faa,M. G\u00f3mez,1
S. Ascac\u00edbar,H. Badstuber,1
E. Thommy,S. Ascac\u00edbar,1
D. Ginczek,C. Gentner,1
B. Pavard,H. Badstuber,1
A. Beck,E. Thommy,1
S. Ascac\u00edbar,C. Gentner,1
S. Ascac\u00edbar,T. Baumgartl,1
C. Gentner,A. Beck,1
T. Baumgartl,S. Ascac\u00edbar,1
D. Ginczek,H. Badstuber,1
E. Ins\u00faa,C. Gentner,1
D. Ginczek,T. Baumgartl,1
B. Pavard,R. Zieler,1
M. G\u00f3mez,S. Ascac\u00edbar,1
E. Thommy,R. Zieler,1
D. Ginczek,E. Thommy,1
C. Gentner,T. Baumgartl,1
S. Ascac\u00edbar,M. G\u00f3mez,1
D. Ginczek,R. Zieler,1
B. Pavard,C. Gentner,1
B. Pavard,S. Ascac\u00edbar,1
E. Ins\u00faa,T. Baumgartl,1
